game_number,game_date,day_of_week,game_time_local,is_home_game,venue,series_number,day_night,home,away,home_game_number
1,2021-04-01,Thu,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,San Francisco Giants,1
2,2021-04-02,Fri,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,San Francisco Giants,2
3,2021-04-03,Sat,06:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,San Francisco Giants,3
4,2021-04-05,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Chicago White Sox,4
5,2021-04-06,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Chicago White Sox,5
6,2021-04-07,Wed,01:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Chicago White Sox,6
7,2021-04-08,Thu,01:10 PM,0,Target Field,1,day,Minnesota Twins,Seattle Mariners,
8,2021-04-10,Sat,11:10 AM,0,Target Field,2,day,Minnesota Twins,Seattle Mariners,
9,2021-04-11,Sun,11:10 AM,0,Target Field,3,day,Minnesota Twins,Seattle Mariners,
10,2021-04-12,Mon,04:05 PM,0,Oriole Park at Camden Yards,1,night,Baltimore Orioles,Seattle Mariners,
11,2021-04-13,Tue,01:05 PM,0,Oriole Park at Camden Yards,1,day,Baltimore Orioles,Seattle Mariners,
12,2021-04-13,Mon,08:33 PM,0,Oriole Park at Camden Yards,2,night,Baltimore Orioles,Seattle Mariners,
13,2021-04-14,Wed,04:05 PM,0,Oriole Park at Camden Yards,3,night,Baltimore Orioles,Seattle Mariners,
14,2021-04-15,Thu,09:35 AM,0,Oriole Park at Camden Yards,3,day,Baltimore Orioles,Seattle Mariners,
15,2021-04-15,Wed,08:33 PM,0,Oriole Park at Camden Yards,4,night,Baltimore Orioles,Seattle Mariners,
16,2021-04-16,Fri,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Houston Astros,7
17,2021-04-17,Sat,06:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Houston Astros,8
18,2021-04-18,Sun,01:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Houston Astros,9
19,2021-04-19,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Los Angeles Dodgers,10
20,2021-04-20,Tue,01:10 PM,1,T-Mobile Park,2,day,Seattle Mariners,Los Angeles Dodgers,11
21,2021-04-22,Thu,04:10 PM,0,Fenway Park,1,night,Boston Red Sox,Seattle Mariners,
22,2021-04-23,Fri,04:10 PM,0,Fenway Park,2,night,Boston Red Sox,Seattle Mariners,
23,2021-04-24,Sat,10:10 AM,0,Fenway Park,3,day,Boston Red Sox,Seattle Mariners,
24,2021-04-25,Sun,10:10 AM,0,Fenway Park,4,day,Boston Red Sox,Seattle Mariners,
25,2021-04-26,Mon,05:10 PM,0,Minute Maid Park,1,night,Houston Astros,Seattle Mariners,
26,2021-04-27,Tue,05:10 PM,0,Minute Maid Park,2,night,Houston Astros,Seattle Mariners,
27,2021-04-28,Wed,05:10 PM,0,Minute Maid Park,3,night,Houston Astros,Seattle Mariners,
28,2021-04-29,Thu,11:10 AM,0,Minute Maid Park,4,day,Houston Astros,Seattle Mariners,
29,2021-04-30,Fri,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Los Angeles Angels,12
30,2021-05-01,Sat,06:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Los Angeles Angels,13
31,2021-05-02,Sun,01:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Los Angeles Angels,14
32,2021-05-03,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Baltimore Orioles,15
33,2021-05-04,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Baltimore Orioles,16
34,2021-05-05,Wed,12:40 PM,1,T-Mobile Park,3,day,Seattle Mariners,Baltimore Orioles,17
35,2021-05-07,Fri,05:05 PM,0,Globe Life Field,1,night,Texas Rangers,Seattle Mariners,
36,2021-05-08,Sat,04:05 PM,0,Globe Life Field,2,night,Texas Rangers,Seattle Mariners,
37,2021-05-09,Sun,11:35 AM,0,Globe Life Field,3,day,Texas Rangers,Seattle Mariners,
38,2021-05-11,Tue,07:10 PM,0,Dodger Stadium,1,night,Los Angeles Dodgers,Seattle Mariners,
39,2021-05-12,Wed,07:10 PM,0,Dodger Stadium,2,night,Los Angeles Dodgers,Seattle Mariners,
40,2021-05-13,Thu,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Cleveland Indians,18
41,2021-05-14,Fri,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Cleveland Indians,19
42,2021-05-15,Sat,06:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Cleveland Indians,20
43,2021-05-16,Sun,01:10 PM,1,T-Mobile Park,4,day,Seattle Mariners,Cleveland Indians,21
44,2021-05-17,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Detroit Tigers,22
45,2021-05-18,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Detroit Tigers,23
46,2021-05-19,Wed,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Detroit Tigers,24
47,2021-05-21,Fri,07:10 PM,0,Petco Park,1,night,San Diego Padres,Seattle Mariners,
48,2021-05-22,Sat,05:40 PM,0,Petco Park,2,night,San Diego Padres,Seattle Mariners,
49,2021-05-23,Sun,01:10 PM,0,Petco Park,3,day,San Diego Padres,Seattle Mariners,
50,2021-05-24,Mon,06:40 PM,0,Oakland Coliseum,1,night,Oakland Athletics,Seattle Mariners,
51,2021-05-25,Tue,06:40 PM,0,Oakland Coliseum,2,night,Oakland Athletics,Seattle Mariners,
52,2021-05-26,Wed,12:37 PM,0,Oakland Coliseum,3,day,Oakland Athletics,Seattle Mariners,
53,2021-05-27,Thu,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Texas Rangers,25
54,2021-05-28,Fri,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Texas Rangers,26
55,2021-05-29,Sat,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Texas Rangers,27
56,2021-05-30,Sun,01:10 PM,1,T-Mobile Park,4,day,Seattle Mariners,Texas Rangers,28
57,2021-05-31,Mon,01:10 PM,1,T-Mobile Park,1,day,Seattle Mariners,Oakland Athletics,29
58,2021-06-01,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Oakland Athletics,30
59,2021-06-02,Wed,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Oakland Athletics,31
60,2021-06-03,Thu,06:38 PM,0,Angel Stadium,1,night,Los Angeles Angels,Seattle Mariners,
61,2021-06-04,Fri,06:38 PM,0,Angel Stadium,2,night,Los Angeles Angels,Seattle Mariners,
62,2021-06-05,Sat,07:07 PM,0,Angel Stadium,3,night,Los Angeles Angels,Seattle Mariners,
